Team,Score,Average,Batting Order,Inns,Captain
 Bangladesh,1,25,3,2,Yes
 Bangladesh,23,85.18,3,1,Yes
 Bangladesh,25,71.42,3,1,Yes
 South Africa,11,61.11,4,2,Yes
 South Africa,12,66.66,4,1,Yes
 South Africa,77,77.77,3,2,Yes
 South Africa,138,98.57,3,1,Yes
 South Africa,7,116.66,3,2,Yes
 Australia,91,93.81,3,1,Yes
 Australia,59,88.05,3,1,Yes
 Australia,117,100,3,1,Yes
 Australia,106,115.21,3,2,Yes
 Australia,8,72.72,3,2,Yes
 New Zealand,85,104.93,3,2,Yes
 New Zealand,9,69.23,3,2,Yes
 New Zealand,154,114.92,3,2,Yes
 New Zealand,45,88.23,3,2,Yes
 New Zealand,65,85.52,3,1,Yes
 England,122,116.19,3,2,Yes
 England,8,160,3,1,Yes
 England,55,87.3,3,2,Yes
